BestBuy_Price,BestBuy_Status,BestBuy_Rating,BestBuy_Review,BestBuy_Model Number,BestBuy_SKU,BestBuy_Link,UUID
1679.99,SOLD_OUT,5.0,3,GV-N308TAORUS X-12GD ,6468933,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-ti-aorus-xtreme-12gb-gddr6x-pci-express-4-0-graphics-card/6468933.p?skuId=6468933,9b65022e-84f9-4a18-8bdc-9941a13e6967
1499.99,SOLD_OUT,4.6,8,GV-N308TGAMING OC-12GD ,6466561,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-ti-gaming-oc-12gb-gddr6x-pci-express-4-0-graphics-card/6466561.p?skuId=6466561,588ffa0e-47f5-495b-a959-f17c0b417163
1549.99,SOLD_OUT,3.7,3,GV-N308TVISION OC-12GD ,6466564,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-ti-vision-oc-12gb-gddr6x-pci-express-4-0-graphics-card/6466564.p?skuId=6466564,dc18f0ed-5c45-4c11-837f-2b4dc54afb6b
1029.99,SOLD_OUT,5.0,7,GV-N3080VISION OC-10GD Rev2.0 ,6471957,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-vision-oc-10gb-gddr6x-pci-express-4-0-graphics-card/6471957.p?skuId=6471957,4e7632c8-8a27-41c0-ad25-d40723c20379
2199.99,SOLD_OUT,4.5,16,GV-N3090AORUS M-24GD ,6437910,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3090-aorus-master-24gb-gddr6x-pci-express-4-0-graphics-card/6437910.p?skuId=6437910,5adf9830-24fb-4282-8a74-14cc057010c5
2199.99,SOLD_OUT,4.3,22,GV-N3090GAMING OC-24GD ,6430623,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3090-gaming-oc-24gb-gddr6x-pci-express-4-0-graphics-card/6430623.p?skuId=6430623,2836b4aa-61e6-4244-aabc-a77c26dbb459
2199.99,SOLD_OUT,4.9,13,GV-N3090VISION OC-24GD ,6445108,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3090-vision-24g-gddr6-pci-express-4-0-graphics-card/6445108.p?skuId=6445108,59c281cf-2402-43a3-8171-b427ee5d73d5
204.99,SOLD_OUT,4.4,226,RX 5500 XT MECH 8G OC BV ,6397797,https://www.bestbuy.com/site/msi-amd-radeon-rx-5500-xt-8gb-gddr6-pci-express-4-0-graphics-card-black-gray/6397797.p?skuId=6397797,a786f1af-195f-4459-9708-92bf3da8cfbe
304.99,SOLD_OUT,3.9,15,RX 5600 XT MECH OC BV ,6430143,https://www.bestbuy.com/site/msi-amd-radeon-rx-5600-xt-mech-oc-6gb-gddr6-pci-express-4-0-graphics-card-black/6430143.p?skuId=6430143,c1ccd1be-9592-419e-bc3f-0028b712b2c8
799.99,ADD_TO_CART,1.3,48,RX 6600 XT GAMING X 8G ,6476227,https://www.bestbuy.com/site/msi-amd-radeon-rx-6600-xt-gaming-x-8g-gddr6-pci-express-4-0-gaming-graphics-card-black/6476227.p?skuId=6476227,b703f661-e23f-427a-ae90-410ed62bd81f
