Name,price,rating,number_of_reviews,stock,url
"ASUS TUF Gaming NVIDIA GeForce RTX 3060 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II) ",Not available,4.5 out of 5 stars,208,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B08WHJPBFX/ref=sr_1_9?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-9
"GIGABYTE AORUS GeForce RTX 3060 Elite 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060AORUS E-12GD REV2.0 Video Card ",849.97,4.5 out of 5 stars,12,Only 1 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV2-0-Graphics-WINDFORCE-GV-N3060AORUS/dp/B09719T6FT/ref=sr_1_10?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-10
"GIGABYTE Eagle GeForce RTX 3060 Ti Rev2.0 Graphics Card 8GB GDDR6 PCI Express 4.0 x16, LHR, WINDFORCE 2X Cooling RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_ HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",949.99,,no reviews,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07142601AXRMG89BIE4T&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09DR6D4MK%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634064926%26sr%3D8-11-spons%26psc%3D1&qualifier=1634064926&id=3090987232345433&widgetName=sp_mtf
MSI NVIDIA GeForce RTX 3060 Ti Gaming X LHR 8GB GDDR6 VRAM Graphics Card X RGB Dual TORX 4.0 Fans 4864 CUDA Cores PCIe 4.0 x 16 DirectX 12 3 x DisplayPort 1 x HDMI Mazepoly Accessory ,939.0,,no reviews,out of stock,https://www.amazon.com/MSI-Graphics-DisplayPort-Mazepoly-Accessory/dp/B09FVLSNZ2/ref=sr_1_12?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-12
"ASUS Dual NVIDIA GeForce RTX 3060 V2 OC Edition 12GB GDDR6 Gaming Graphics Card (PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, 2-Slot Design, Axial-tech Fan Design, 0dB Technology) ",772.88,5.0 out of 5 stars,2,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-Technology/dp/B0985X2YR1/ref=sr_1_13?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-13
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card ",894.11,4.6 out of 5 stars,22,Only 9 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV2-0-WINDFORCE-GV-N3060GAMING-OC-12GD/dp/B0971BG25M/ref=sr_1_14?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-14
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3x DisplayPort 1.4a w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,949.99,4.6 out of 5 stars,5,Only 7 left in stock - order soon.,https://www.amazon.com/Graphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI/dp/B09GHZGD5X/ref=sr_1_15?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-15
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3x DisplayPort 1.4a w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,949.99,4.6 out of 5 stars,5,Only 7 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09382251XJX5VXDW3X7Y&url=%2FGraphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GHZGD5X%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634064926%26sr%3D8-16-spons%26psc%3D1&qualifier=1634064926&id=3090987232345433&widgetName=sp_mtf
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Triple Fan Ampere OC Graphics Card (RTX 3060 Ventus 3X 12G OC) ,Not available,4.0 out of 5 stars,10,out of stock,https://www.amazon.com/MSI-RTX-3060-OC-12G/dp/B08WTFG5BX/ref=sr_1_17?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-17
MSI Gaming GeForce RTX 3060 Ti LHR 8GB GDRR6 256-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3060 Ti Ventus 2X 8G OCV1 LHR) ,Not available,3.5 out of 5 stars,8,out of stock,https://www.amazon.com/MSI-GeForce-RTX-3060-OCV1/dp/B099N59B14/ref=sr_1_18?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-18
"GIGABYTE GeForce RTX 3060 Ti Gaming OC PRO 8G (REV3.0) Graphics Card, 3X WINDFORCE Fans, LHR, 8GB 256-bit GDDR6, GV-N306TGAMINGOC PRO-8GD R3 Video Card ",944.98,4.5 out of 5 stars,5,Only 1 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV3-0-WINDFORCE-GV-N306TGAMINGOC-PRO-8GD/dp/B098PJNWKD/ref=sr_1_19?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-19
PNY GeForce RTX 3060 12GB XLR8 Gaming Revel Epic-X RGB Dual Fan Graphics Card ,772.97,2.8 out of 5 stars,28,out of stock,https://www.amazon.com/PNY-GeForce-Gaming-Epic-X-Graphics/dp/B09979GS5W/ref=sr_1_20?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-20
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3X DisplayPort 1.4a w/ Mytrix_HDMI Cable ,949.99,,no reviews,Only 4 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0938069PIBGUJ2TGPAS&url=%2FGraphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GJ5GXV7%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634064926%26sr%3D8-21-spons%26psc%3D1&qualifier=1634064926&id=3090987232345433&widgetName=sp_btf
