MicroCenter_Name,MicroCenter_Price,MicroCenter_SKU,MicroCenter_Model Number,MicroCenter_Link
MSI NVIDIA GeForce RTX 3070 Ti Gaming X Trio Triple-Fan 8GB GDDR6X PCIe 4.0 Graphics Card,959.99,287011,RTX3070TI GAMIN,https://www.microcenter.com/product/638566/msi-nvidia-geforce-rtx-3070-ti-gaming-x-trio-triple-fan-8gb-gddr6x-pcie-40-graphics-card
ASUS AMD Radeon RX 6700 XT ROG Strix Overclocked Triple-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,929.99,249276,STXRX6700XTO12G,https://www.microcenter.com/product/635167/asus-amd-radeon-rx-6700-xt-rog-strix-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card
MSI NVIDIA GeForce RTX 3060 Ti VENTUS 2X LHR Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,629.99,297143,RTX3060TILHRVEN,https://www.microcenter.com/product/639398/msi-nvidia-geforce-rtx-3060-ti-ventus-2x-lhr-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3060 Dual V2 Overclocked Dual-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,469.99,295071,D-RTX3060O12G-V,https://www.microcenter.com/product/639235/asus-nvidia-geforce-rtx-3060-dual-v2-overclocked-dual-fan-12gb-gddr6-pcie-40-graphics-card
ASUS GeForce GT 1030 Phoenix Overclocked Single-Fan 2GB GDDR5 PCIe 3.0 Graphics Card,109.99,344911,PH-GT1030-O2G,https://www.microcenter.com/product/480789/asus-geforce-gt-1030-phoenix-overclocked-single-fan-2gb-gddr5-pcie-30-graphics-card
Gigabyte NVIDIA GeForce GT 1030 Low Profile D4 Single-Fan 2GB GDDR4 PCIe 3.0 Graphics Card,109.99,283358,GV-N1030D4-2GL,https://www.microcenter.com/product/638152/gigabyte-nvidia-geforce-gt-1030-low-profile-d4-single-fan-2gb-gddr4-pcie-30-graphics-card
MSI NVIDIA GeForce RTX 3080 Ventus LHR Overclocked Triple-Fan 10GB GDDR6X PCIe 4.0 Graphics Card,"1,099.99",306407,LHRRTX3080VENTU,https://www.microcenter.com/product/640129/msi-nvidia-geforce-rtx-3080-ventus-lhr-overclocked-triple-fan-10gb-gddr6x-pcie-40-graphics-card
Gigabyte GeForce GTX 1050 Ti Single-Fan 4GB GDDR5 PCIe Video Card,279.99,178954,GV-N105TD5-4GD,https://www.microcenter.com/product/472014/gigabyte-geforce-gtx-1050-ti-single-fan-4gb-gddr5-pcie-video-card
PNY Quadro P400 V2 Single-Fan 2GB GDDR5 PCIe 3.0 Graphics Card,169.99,181966,VCQP400V2-PB,https://www.microcenter.com/product/628459/pny-quadro-p400-v2-single-fan-2gb-gddr5-pcie-30-graphics-card
Sapphire Technology AMD Radeon RX 6700 XT Nitro Plus Triple-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,899.99,250050,11306-01-20G,https://www.microcenter.com/product/635274/sapphire-technology-amd-radeon-rx-6700-xt-nitro-plus-triple-fan-12gb-gddr6-pcie-40-graphics-card
Gigabyte NVIDIA GeForce RTX 3060 Ti Aorus Elite LHR Overclocked Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,599.99,309435,R2GVN306TAORUSE,https://www.microcenter.com/product/640396/gigabyte-nvidia-geforce-rtx-3060-ti-aorus-elite-lhr-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card
ASUS GeForce GT 710 Low Profile Passive 1GB GDDR5 PCIe 2.0 Graphics Card,49.99,388249,90YV0AL2-M0NA00,https://www.microcenter.com/product/484122/asus-geforce-gt-710-low-profile-passive-1gb-gddr5-pcie-20-graphics-card
Gigabyte NVIDIA GeForce RTX 3060 Ti Gaming Pro LHC Overclocked Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,569.99,298141,R3GVN306TGAMING,https://www.microcenter.com/product/639484/gigabyte-nvidia-geforce-rtx-3060-ti-gaming-pro-lhc-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card
