Product_Name,MicroCenter_SKU,BestBuy_SKU
ASUS Radeon RX 6800 XT TUF Gaming OC 16GB GDDR6 PCIe 4.0 Graphics Card,210351,
PowerColor AMD Radeon RX 6700 XT Fighter 12GB GDDR6 PCIe 4.0 Graphics Card,247940,
MSI GeForce GTX 1650 Ventus XS OC 4GB GDDR5 PCIe 3.0 Graphics Card,935700,
ASUS NVIDIA GeForce RTX 3070 Dual OC 8GB GDDR6 PCIe 4.0 Graphics Card,310185,
ASUS AMD Radeon RX 6600 XT Dual OC 8GB GDDR6 PCIe 4.0 Graphics Card,308361,
PowerColor AMD Radeon RX 6900 XT Red Devil OC 16GB GDDR6 PCIe 4.0 Graphics Card,221085,
Sapphire Technology AMD Radeon RX 6700 XT Pulse OC 12GB GDDR6 PCIe 4.0 Graphics Card,320739,
Zotac NVIDIA GeForce GTX 1660 Twin Fan 6GB GDDR5 PCIe 3.0 Graphics Card,324103,
PowerColor AMD Radeon RX 6900 XT Ultimate Red Devil OC 16GB GDDR6 PCIe 4.0 Graphics Card,264374,
ASUS NVIDIA GeForce RTX 3070 TUF Gaming V2 OC 8GB GDDR6 PCIe 4.0 Graphics Card,294983,
Sapphire Technology AMD Radeon RX 6600 XT Nitro Plus OC 8GB GDDR6 PCIe 4.0 Graphics Card,308320,
Sapphire Technology AMD Radeon RX 6600 XT Pulse OC 8GB GDDR6 PCIe 4.0 Graphics Card,308338,
ASUS GeForce GTX 1650 TUF Gaming OC 4GB GDDR6 PCIe 3.0 Graphics Card,167668,
ASUS NVIDIA GeForce RTX 3070 ROG Strix  V2 OC 8GB GDDR6 PCIe 4.0 Graphics Card,319194,
MSI GeForce RTX 3090 SUPRIM X OC 24GB GDDR6X PCIe 4.0 Graphics Card,207779,
ASUS NVIDIA GeForce RTX 3070 KO V2 OC 8GB GDDR6 PCIe 4.0 Graphics Card,307314,
PNY 4ro P2200 5GB GDDR5X PCIe 3.0 Graphics Card,182022,
ASUS NVIDIA GeForce RTX 3080 Ti ROG Strix OC 12GB GDDR6X PCIe 4.0 Graphics Card,279869,
ASUS NVIDIA GeForce GTX 1660 Phoenix OC 6GB GDDR5 PCIe 3.0 Graphics Card,292771,
MSI NVIDIA GeForce GTX 1050 Ti OC 4GB GDDR5 PCIe 3.0 Graphics Card,222364,
ASUS GeForce GTX 1650 SUPER TUF GAMING OC 4GB GDDR6 PCIe 3.0 Graphics Card,57810,
Sapphire Technology AMD Radeon RX 6900 XT Nitro OC 16GB GDDR6 PCIe 4.0 Graphics Card,220053,
ASRock AMD Radeon RX 6700 XT Challenger D OC 12GB GDDR6 PCIe 4.0 Graphics Card,295618,
PNY 4ro P1000 V2 4GB GDDR5 PCIe 3.0 Graphics Card,181941,
PNY 4ro RTX 4000 8GB GDDR6 PCIe 3.0 Graphics Card,181990,
ASUS NVIDIA GeForce RTX 3080 Ti TUF OC 12GB GDDR6X PCIe 4.0 Graphics Card,279877,
ASUS NVIDIA GTX 1650 Dual OC 4GB GDDR6 PCIe 3.0 Graphics Card,246843,
PowerColor AMD Radeon RX 6800 Red Dragon OC 16GB GDDR6 PCIe 4.0 Graphics Card,217679,
PNY 4ro P620 V2 2GB GDDR5 PCIe 3.0 Graphics Card,181974,
MSI GAMING X GeForce GTX 1050 Ti OC 4GB GDDR5 PCIe Video Card,176057,
PNY 4ro RTX 5000 16GB GDDR6 PCIe 3.0 Graphics Card,181933,
ASRock AMD Radeon RX 6900 XT Formula OC 16GB GDDR6 PCIe 4.0 Graphics Card,282228,
PowerColor AMD Radeon RX 6900 XT Liquid Devil Ultimate OC Liquid Cooled 16GB GDDR6 PCIe 4.0 Graphics Card,264366,
ASUS AMD Radeon RX 6700 XT ROG Strix OC 12GB GDDR6 PCIe 4.0 Graphics Card,249276,
ASUS NVIDIA GeForce RTX 3060 Dual V2 OC 12GB GDDR6 PCIe 4.0 Graphics Card,295071,
ASUS GeForce GT 1030 Phoenix OC 2GB GDDR5 PCIe 3.0 Graphics Card,344911,
Gigabyte GeForce GTX 1050 Ti 4GB GDDR5 PCIe Video Card,178954,
PNY 4ro P400 V2 2GB GDDR5 PCIe 3.0 Graphics Card,181966,
Sapphire Technology AMD Radeon RX 6700 XT Nitro Plus 12GB GDDR6 PCIe 4.0 Graphics Card,250050,
Gigabyte NVIDIA GeForce RTX 3060 Ti Aorus Elite OC 8GB GDDR6 PCIe 4.0 Graphics Card,309435,
ASUS GeForce GT 710 Low Profile Passive 1GB GDDR5 PCIe 2.0 Graphics Card,388249,
ASUS AMD Radeon RX 6900 XT ROG Strix LC OC Hybrid Cooled 16GB GDDR6 PCIe 4.0 Graphics Card,291849,
Sapphire Technology AMD Radeon RX 6900 XT Nitro Plus OC 16GB GDDR6 PCIe 4.0 Graphics Card,268482,
ASUS Phoenix GeForce GTX 1050 Ti 4GB GDDR5 PCIe Video Card,194621,
Gigabyte NVIDIA GeForce RTX 3060 AORUS Elite Rev 2 OC 12GB GDDR6 PCIe 4.0 Graphics Card,287722,
Sapphire Technology AMD Radeon RX 6900 XT Toxic OC Hybrid Cooled 16GB GDDR6 PCIe 4.0 Graphics Card,269720,
PowerColor AMD Radeon RX 6600 XT Hellhound OC 8GB GDDR6 PCIe 4.0 Graphics Card,306472,
MSI NVIDIA GeForce RTX 3060 Ti Ventus 3X OC 8GB GDDR6 PCIe 4.0 Graphics Card,304592,
ASUS NVIDIA GeForce RTX 3070 Ti TUF Gaming OC 8GB GDDR6X PCIe 4.0 Graphics Card,283176,
PowerColor AMD Radeon RX 6800 XT Liquid Devil 16GB GDDR6 PCIe 4.0 Graphics Card,239202,
ASUS GeForce GT 710 Low Profile Passive 2GB GDDR5 PCIe Graphics Card,360297,
MSI NVIDIA GeForce RTX 3060 Gaming X Trio OC 12GB GDDR6 PCIe 4.0 Graphics Card,234807,
ASUS AMD Radeon RX 6900 XT TUF Gaming OC 16GB GDDR6 PCIe 4.0 Graphics Card,217331,
PowerColor AMD Radeon RX 6600 XT Fighter 8GB GDDR6 PCIe 4.0 Graphics Card,309443,
MSI NVIDIA GeForce GT 730 N730K 4GD3/OCV1 OC 4GB DDR3 PCIe 2.0 Graphics Card,289488,
MSI NVIDIA GeForce 210 N210 MD1G/D3 1GB DDR3 PCIe 2.0 Graphics Card,287391,
Visiontek SFF Radeon 7750 2GB GDDR5 PCIe 3.0 Graphics Card,10199,
MSI NVIDIA GeForce GT 1030 2GD4 LP OC 2GB GDDR4 PCIe 3.0 Graphics Card,251686,
MSI GeForce GTX 1660 Super Ventus XS OC 6GB GDDR6 PCIe 3.0 Graphics Card,42036,
Visiontek Radeon RX 560 4GB GDDR5 PCIe 3.0 Graphics Card,60939,
